Телефон HTC Radar,400  ₽,Ростов-на-Дону,3 дня назад,https://75.img.avito.st/image/1/2gqXU7aBduPh9oTlrzzFDx_wcuU18HblUpNy5eH2hOUh9HrnIfJ2pw,https://www.avito.ru/rostov-na-donu/telefony/telefon_htc_radar_1913516340
HTC Desire 326G dual sim,3 500  ₽,Волгодонск,1 день назад,https://50.img.avito.st/image/1/65wSXraBR3Vk-7VzSCWz6o_9Q3Ow_Udz155Dc2T7tXOk-UtxpP9HMQ,https://www.avito.ru/volgodonsk/telefony/htc_desire_326g_dual_sim_1760602721?slocation=651110
HTC E9s dual sim,7 000  ₽,Семикаракорск,2 дня назад,https://31.img.avito.st/image/1/kijIHbaBPsG-uMzH4BeUMl--Osdqvj7HDd06x764zMd-ujLFfrw-hQ,https://www.avito.ru/semikarakorsk/telefony/htc_e9s_dual_sim_1688176714
HTC One Dual Sim M7,7 000  ₽,Ростов-на-Дону,2 дня назад,https://81.img.avito.st/image/1/kEoeobaBPKNoBM6lMu-jboACOKW8Ajyl22E4pWgEzqWoBjCnqAA85w,https://www.avito.ru/rostov-na-donu/telefony/htc_one_dual_sim_m7_1577498443?slocation=651110
Htc блок пит,300  ₽,Ростов-на-Дону,5 дней назад,none,https://www.avito.ru/rostov-na-donu/telefony/htc_blok_pit_1904308991
HTC One X Новый,4 000  ₽,Ростов-на-Дону,6 дней назад,https://78.img.avito.st/208x156/3247792778.jpg,https://www.avito.ru/rostov-na-donu/telefony/htc_one_x_novyy_894088241
Телефон HTC 626,3 000  ₽,Ростов-на-Дону,1 неделю назад,https://66.img.avito.st/image/1/Twqar7aB4-PsChHliKIsSRAM5-U4DOPlX2_n5ewKEeUsCO_nLA7jpw,https://www.avito.ru/rostov-na-donu/telefony/telefon_htc_626_1864069884?slocation=651110
Запчасть на HTC,50  ₽,Ростов-на-Дону,9 часов назад,https://24.img.avito.st/image/1/5XEom7aBSZhePruebtCcYKA4TZ6KOEme7VtNnl4-u56ePEWcnjpJ3A,https://www.avito.ru/rostov-na-donu/telefony/zapchast_na_htc_1908790178?slocation=651110
Смартфон HTC,3 500  ₽,Миллерово,1 неделю назад,https://54.img.avito.st/image/1/N2BCgLaBm4k0JWmPILx_WMojn4_gI5uPh0CfjzQlaY_0J5eN9CGbzQ,https://www.avito.ru/millerovo/telefony/smartfon_htc_1907966127?slocation=651110
Телефон HTC Wildfire S,500  ₽,Шахты,2 дня назад,https://38.img.avito.st/image/1/v3-SsraBE5bkF-GQ4MyeexoRF5AwEROQV3IXkOQX4ZAkFR-SJBMT0g,https://www.avito.ru/shahty/telefony/telefon_htc_wildfire_s_1891617301?slocation=651110
Htc,500  ₽,Шахты,17 марта 19:36,none,https://www.avito.ru/shahty/telefony/htc_1868733373
Смартфон HTC One S на запчасти,1 000  ₽,Аксай,5 дней назад,https://53.img.avito.st/image/1/uOuQo7aBFALmBuYE7PWfxhoAEAQyABQEVWMQBOYG5gQmBBgGJgIURg,https://www.avito.ru/rostovskaya_oblast_aksay/telefony/smartfon_htc_one_s_na_zapchasti_1856559262
HTC 526,2 000  ₽,Таганрог,1 неделю назад,none,https://www.avito.ru/taganrog/telefony/htc_526_1883599656
HTC Widfire S Черный,800  ₽,Ростов-на-Дону,1 неделю назад,https://25.img.avito.st/image/1/EK-3dLaBvEbB0U5Am1RNiz_XuEAV17xAcrS4QMHRTkAB07BCAdW8Ag,https://www.avito.ru/rostov-na-donu/telefony/htc_widfire_s_chernyy_1906935628
Htc u11 Plus,17 000  ₽,Ростов-на-Дону,1 неделю назад,https://05.img.avito.st/image/1/CK_JY7aBpEa_xlZA1TMXlEHAoEBrwKRADKOgQL_GVkB_xKhCf8KkAg,https://www.avito.ru/rostov-na-donu/telefony/htc_u11_plus_1909797416?slocation=651110
HTC tattoo,800  ₽,Ростов-на-Дону,6 дней назад,https://41.img.avito.st/208x156/2882799341.jpg,https://www.avito.ru/rostov-na-donu/telefony/htc_tattoo_768640089
Htc,990  ₽,Ростов-на-Дону,1 неделю назад,https://53.img.avito.st/image/1/SBOBU7aB5Pr39hb8nQYwSxDw4Pwj8OT8RJPg_Pf2Fvw39Oj-N_Lkvg,https://www.avito.ru/rostov-na-donu/telefony/htc_1407422024?slocation=651110
Телефон HTC Desire 310,2 000  ₽,Ростов-на-Дону,4 дня назад,https://00.img.avito.st/image/1/yX3foLaBZZSpBZeSwb_IK1UDYZJ9A2WSGmBhkqkFl5JpB2mQaQFl0A,https://www.avito.ru/rostov-na-donu/telefony/telefon_htc_desire_310_1861084489?slocation=651110
HTC Mini+ BL R120,350  ₽,Ростов-на-Дону,6 дней назад,https://08.img.avito.st/image/1/ESQ9BbaBvc1LoE_LE2VMcaSmucufpr3L-MW5y0ugT8uLorHJi6S9iQ,https://www.avito.ru/rostov-na-donu/telefony/htc_mini_bl_r120_1828125161?slocation=651110
Телефон HTC,2  ₽,Ростов-на-Дону,2 недели назад,none,https://www.avito.ru/rostov-na-donu/telefony/telefon_htc_1900840894
HTC Desire 200 на запчасти,200  ₽,Ростов-на-Дону,2 дня назад,none,https://www.avito.ru/rostov-na-donu/telefony/htc_desire_200_na_zapchasti_1790628106
"HTC 10 32GB, imei 354261074630898",11 999  ₽,Ростов-на-Дону,1 день назад,https://69.img.avito.st/image/1/LBvm7baBgPKQSHL0sukrBG5OhPREToD0Iy2E9JBIcvRQSoz2UEyAtg,https://www.avito.ru/rostov-na-donu/telefony/htc_10_32gb_imei_354261074630898_1916579162
Телефон HTC 620,3 000  ₽,Ростов-на-Дону,1 неделю назад,https://03.img.avito.st/image/1/Bu3GbraBqgSwy1gCxg5nrkzNrgJkzaoCA66uArDLWAJwyaYAcM-qQA,https://www.avito.ru/rostov-na-donu/telefony/telefon_htc_620_1863968122?slocation=651110
HTC One S,1 500  ₽,Таганрог,1 неделю назад,https://74.img.avito.st/image/1/N4jwgraBm2GGJ2lnktpdp3ghn2dSIZtnNUKfZ4YnaWdGJZdlRiObJQ,https://www.avito.ru/taganrog/telefony/htc_one_s_1893463601?slocation=651110
На htc one m9 защитные стекла и чехлы,199  ₽,Ростов-на-Дону,13 часов назад,https://65.img.avito.st/image/1/IBVGv7aBjPwwGn76CqdEDdMciPrkHIz6g3-I-jAafvrwGID48B6MuA,https://www.avito.ru/rostov-na-donu/telefony/na_htc_one_m9_zaschitnye_stekla_i_chehly_900606728?slocation=651110
Телефон HTC,300  ₽,Гуково,6 дней назад,https://01.img.avito.st/image/1/CKmG7LaBpEDwSVZGmsxmgQ1PoEYkT6RGQyygRvBJVkYwS6hEME2kBA,https://www.avito.ru/gukovo/telefony/telefon_htc_1917573619
HTC Desire 310,700  ₽,Волгодонск,2 недели назад,https://53.img.avito.st/image/1/6K7jGLaBREeVvbZBv3u432u7QEFBu0RBJthAQZW9tkFVv0hDVblEAw,https://www.avito.ru/volgodonsk/telefony/htc_desire_310_1892705627?slocation=651110
Телефон htc one e 9+,8 000  ₽,Ростов-на-Дону,1 неделю назад,none,https://www.avito.ru/rostov-na-donu/telefony/telefon_htc_one_e_9_1895893026
Телефон HTC One M7,3 500  ₽,Ростов-на-Дону,1 неделю назад,https://48.img.avito.st/image/1/_XUeI7aBUZxohqOaaCCEUJaAVZq8gFGa2-NVmmiGo5qohF2YqIJR2A,https://www.avito.ru/rostov-na-donu/telefony/telefon_htc_one_m7_1900790978?slocation=651110
